Set,PriceEuro,Pieces,Minifigs
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,,481,4 (4 unique to this set)
1974 Porsche 911 Turbo 3.0,,180,1 (1 unique to this set)
Dilophosaurus on the Loose,,168,3 (2 unique to this set)
Baryonyx Face-Off: The Treasure Hunt,,434,4 (1 unique to this set)
Jurassic Park: T. rex Rampage,,3120,6 (5 unique to this set)
Triceratops Rampage,,447,4 (3 unique to this set)
T. rex vs Dino-Mech Battle,,716,4 (2 unique to this set)
Expecto Patronum,,121,4 (1 unique to this set)
Hungarian Horntail Triwizard Challenge,,265,4 (4 unique to this set)
Hagrid's Hut: Buckbeak's Rescue,,496,6 (3 unique to this set)
Hogwarts Clock Tower,,922,8 (5 unique to this set)
The Knight Bus,,403,3 (2 unique to this set)
Beauxbatons' Carriage: Arrival at Hogwarts,,430,4 (4 unique to this set)
LEGO Harry Potter Advent Calendar,,305,8 (7 unique to this set)
The Rise of Voldemort,,184,6 (6 unique to this set)
Tracer vs. Widowmaker,,129,2 (2 unique to this set)
Hanzo vs. Genji,,197,3 (3 unique to this set)
Dorado Showdown,,419,3 (2 unique to this set)
D.Va & Reinhardt,,455,2 (2 unique to this set)
Bastion,,602,
Watchpoint: Gibraltar,,730,4 (3 unique to this set)
Wrecking Ball,,227,1 (1 unique to this set)
Junkrat & Roadhog,,380,2 (2 unique to this set)
Spider-Man Bike Rescue,,235,3 (2 unique to this set)
Spider-Man's Spider Crawler,,418,4 (3 unique to this set)
Spider Mech vs. Venom,,604,4 (1 unique to this set)
Batman Batsub and the Underwater Clash,,174,3 (3 unique to this set)
Batman Mech vs. Poison Ivy Mech,,375,4 (4 unique to this set)
Mr. Freeze Batcycle Battle,,200,3 (1 unique to this set)
Batmobile: Pursuit of The Joker,,342,2
Batwing and The Riddler Heist,,489,4 (2 unique to this set)
Batcave Clayface Invasion,,1038,6 (3 unique to this set)
Captain America: Outriders Attack,,167,4 (3 unique to this set)
War Machine Buster,,362,4 (2 unique to this set)
Iron Man Hall of Armor,,524,6 (3 unique to this set)
Avengers Ultimate Quinjet,,838,6 (3 unique to this set)
Captain Marvel and The Skrull Attack,,307,3 (1 unique to this set)
Molten Man Battle,,294,3 (2 unique to this set)
Hydro-Man Attack,,471,4 (3 unique to this set)
Stark Jet and the Drone Attack,,504,4 (2 unique to this set)
Avengers Compound Battle,,699,7 (5 unique to this set)
Spider-Man Car Chase,,52,2 (1 unique to this set)
Spider-Man: Doc Ock Diamond Heist,,150,3 (2 unique to this set)
Batman vs. The Riddler Robbery,,59,2
Batman and The Joker Escape,,171,4 (2 unique to this set)
1989 Batmobile,,3306,3 (2 unique to this set)
Avengers Hulk Helicopter Rescue,,482,5 (2 unique to this set)
Sith Trooper Bust,,484,
Captain Marvel and the Asis,,271,2 (1 unique to this set)
The Dark Knight of Gotham City,,427,1
Chinese New Year's Eve Dinner,,615,6 (6 unique to this set)
Dragon Dance,,622,5 (5 unique to this set)
Dragon Boat Race,,643,15 (15 unique to this set)
Koi,,293,
Shark Skin,,31,
Splash Koi Skin,,33,
Ink Koi Skin,,33,
Boost Hub,,1,
Colour & Distance Sensor,,1,
Medium Linear Motor,,1,
Train Motor,,7,
Garmadon,,10,1
Garmadon,,10,1
Wu,,1,1
Wu,,1,1
Kai vs. Wyplash,,13,2
Kai vs. Wyplash,,13,2
Jay Vs. Lasha,,12,2
Jay vs. Lasha,,12,2
Baby Raptor,,33,
Owen with Baby Raptor,,7,1
Batman with Batarang,,7,1
Robin,,7,1
Superman,,8,1
The Flash,,6,1
Joker,,9,1
Batman,,6,1
Show Jump,,34,
Emmet with Tools,,9,1
Rex with Jetpack,,,1 (1 unique to this set)
Emma's Kitty Chico,,22,
Shop with Costumes,,30,
Sweet Baby,,15,1
Bear's Cave,,22,
Andrea's Booth with Waffles,,29,
Robot on paddleboard,,18,1 (1 unique to this set)
Ice Cream Parlour,,38,
Andrea's Stage,,21,
Stephanie's Puppy Dash,,20,
Halloween Store,,15,
Olivia's Bakery,,38,
Jack,,8,1
Possessed Pizza Delivery Man,,6,1 (1 unique to this set)
Parker,,6,1
TLM2 Accessory Set 2019,,48,4 (3 unique to this set)
Oni Battle Pack,,36,3 (3 unique to this set)
Emmet Key Chain,,,
Lucy Key Chain,,,
